viewDate,areaMunKm,areaUcKm,uc,uf,municipio,geocod,className
04/06/2025,0.37,0,,AM,Apui,1300144,DESMATAMENTO_CR
04/06/2025,0.09,0,,AM,Apui,1300144,DESMATAMENTO_CR
26/12/2024,0.09,0,,RO,Alto Alegre dos Parecis,1100379,DESMATAMENTO_CR
15/10/2024,0.1,0,,AM,Labrea,1302405,DESMATAMENTO_CR
29/09/2024,0.08,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
04/06/2025,0.07,0,,AM,Apui,1300144,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
24/10/2024,0.1,0,,PA,Altamira,1500602,DESMATAMENTO_CR
29/09/2024,0.18,0,,PA,Jacunda,1503804,DESMATAMENTO_CR
24/10/2024,0.45,0,,PA,Altamira,1500602,DESMATAMENTO_CR
04/06/2025,0.2,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
24/10/2024,0.07,0,,PA,Altamira,1500602,DESMATAMENTO_CR
04/06/2025,0.24,0,,AM,Apui,1300144,DESMATAMENTO_CR
04/06/2025,0.09,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
09/10/2024,0.19,0,,PA,Portel,1505809,DESMATAMENTO_CR
04/06/2025,0.67,0,,AM,Apui,1300144,DESMATAMENTO_CR
24/10/2024,0.13,0,,PA,Altamira,1500602,DESMATAMENTO_CR
04/06/2025,0.1,0,,AC,Sena Madureira,1200500,DESMATAMENTO_CR
04/06/2025,0.19,0,,AM,Humaita,1301704,DESMATAMENTO_CR
09/10/2024,0.13,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
09/10/2024,0.15,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
04/06/2025,0.55,0,,AM,Humaita,1301704,DESMATAMENTO_CR
04/06/2025,0.14,0,,AC,Sena Madureira,1200500,DESMATAMENTO_CR
04/06/2025,0.15,0,,PA,Tome-Açu,1508001,DESMATAMENTO_CR
29/09/2024,0.08,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
29/09/2024,0.12,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
04/06/2025,0.08,0,,AC,Sena Madureira,1200500,DESMATAMENTO_CR
04/06/2025,0.08,0,,AC,Feijo,1200302,DESMATAMENTO_CR
29/09/2024,0.13,0,,PA,Portel,1505809,DESMATAMENTO_CR
04/06/2025,0.1,0,,AC,Cruzeiro do Sul,1200203,DESMATAMENTO_CR
29/09/2024,0.15,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
28/01/2025,0.2,0,,PA,Moju,1504703,DESMATAMENTO_CR
03/06/2025,0.08,0,,AM,Labrea,1302405,DESMATAMENTO_CR
03/06/2025,0.26,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
29/09/2024,0.08,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
29/09/2024,0.12,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
29/09/2024,0.12,0,,PA,Jacunda,1503804,DESMATAMENTO_CR
01/10/2024,0.27,0,,AM,Labrea,1302405,DESMATAMENTO_CR
03/06/2025,0.13,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
29/09/2024,0.24,0,,PA,Maraba,1504208,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Maraba,1504208,DESMATAMENTO_CR
03/06/2025,0.07,0,,AC,Bujari,1200138,DESMATAMENTO_CR
29/09/2024,0.1,0,,PA,Maraba,1504208,DESMATAMENTO_CR
03/06/2025,0.06,0,,AC,Bujari,1200138,DESMATAMENTO_CR
29/09/2024,0.19,0,,PA,Portel,1505809,DESMATAMENTO_CR
29/09/2024,0.01,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
24/10/2024,0.1,0,,PA,Altamira,1500602,DESMATAMENTO_CR
04/10/2024,0.09,0,,RO,Machadinho D'oeste,1100130,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Anapu,1500859,DESMATAMENTO_CR
03/06/2025,0.11,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
29/09/2024,0.02,0,,PA,Portel,1505809,DESMATAMENTO_CR
29/09/2024,0.13,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
09/10/2024,0.08,0,,PA,Breu Branco,1501782,DESMATAMENTO_CR
29/09/2024,0.14,0,,PA,Portel,1505809,DESMATAMENTO_CR
29/09/2024,0.25,0,,PA,Sao Felix do Xingu,1507300,DESMATAMENTO_CR
24/10/2024,0.28,0,,MT,Santa Carmem,5107248,DESMATAMENTO_CR
29/09/2024,0.17,0,,PA,Maraba,1504208,DESMATAMENTO_CR
29/09/2024,0.46,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
03/06/2025,0.09,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
04/10/2024,0.07,0,,RO,Machadinho D'oeste,1100130,DESMATAMENTO_CR
29/09/2024,0.16,0,,PA,Portel,1505809,DESMATAMENTO_CR
03/06/2025,0.17,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
29/09/2024,0.11,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
29/09/2024,0.15,0,,PA,Portel,1505809,DESMATAMENTO_CR
03/06/2025,0.09,0,,AC,Porto Acre,1200807,DESMATAMENTO_CR
03/06/2025,0.06,0,,AC,Manoel Urbano,1200344,DESMATAMENTO_CR
03/06/2025,0.27,0,,AC,Feijo,1200302,DESMATAMENTO_CR
28/01/2025,0.16,0,,PA,Moju,1504703,DESMATAMENTO_CR
29/09/2024,0.08,0,,PA,Itupiranga,1503705,DESMATAMENTO_CR
03/06/2025,0.07,0,,AC,Tarauaca,1200609,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Nova Ipixuna,1504976,DESMATAMENTO_CR
03/06/2025,0.13,0,,AM,Ipixuna,1301803,DESMATAMENTO_CR
29/09/2024,0.4,0,,PA,Portel,1505809,DESMATAMENTO_CR
29/09/2024,0.16,0,,PA,Nova Ipixuna,1504976,DESMATAMENTO_CR
03/06/2025,0.16,0,,AC,Cruzeiro do Sul,1200203,DESMATAMENTO_CR
29/09/2024,0.06,0,,PA,Tailandia,1507953,DESMATAMENTO_CR
03/06/2025,0.07,0,,AC,Marechal Thaumaturgo,1200351,DESMATAMENTO_CR
29/09/2024,0.11,0,,PA,Nova Ipixuna,1504976,DESMATAMENTO_CR
03/06/2025,0.11,0,,RO,Porto Velho,1100205,DESMATAMENTO_CR
06/10/2024,0.14,0,,PA,Novo Progresso,1505031,DESMATAMENTO_CR
29/09/2024,0.1,0,,PA,Nova Ipixuna,1504976,DESMATAMENTO_CR
03/06/2025,0.38,0,,RO,Porto Velho,1100205,DESMATAMENTO_CR
03/06/2025,0.26,0,,AM,Labrea,1302405,DESMATAMENTO_CR
29/09/2024,0.1,0,,PA,Tailandia,1507953,DESMATAMENTO_CR
29/09/2024,0.09,0,,PA,Nova Ipixuna,1504976,DESMATAMENTO_CR
24/10/2024,0.08,0,,MT,Santa Carmem,5107248,DESMATAMENTO_CR
29/09/2024,0.15,0,,PA,Portel,1505809,DESMATAMENTO_CR
09/10/2024,0.1,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
24/10/2024,0.07,0,,MT,Claudia,5103056,DESMATAMENTO_CR
29/09/2024,0.09,0,,PA,Tailandia,1507953,DESMATAMENTO_CR
24/10/2024,0.08,0,,MT,Claudia,5103056,DESMATAMENTO_CR
11/10/2024,0.06,0,,PA,Aveiro,1501006,DESMATAMENTO_CR
29/09/2024,0.11,0,,PA,Nova Ipixuna,1504976,DESMATAMENTO_CR
29/09/2024,0.12,0,,PA,Nova Ipixuna,1504976,DESMATAMENTO_CR
28/01/2025,0.07,0,,MT,Caceres,5102504,DESMATAMENTO_CR
29/09/2024,0.09,0,,PA,Nova Ipixuna,1504976,DESMATAMENTO_CR
29/09/2024,0.1,0,,PA,Tailandia,1507953,DESMATAMENTO_CR
28/01/2025,0.07,0,,PA,Moju,1504703,DESMATAMENTO_CR
29/09/2024,0.14,0,,PA,Tailandia,1507953,DESMATAMENTO_CR
29/09/2024,0.12,0,,PA,Rondon do Para,1506187,DESMATAMENTO_CR
29/09/2024,0.06,0,,PA,Rondon do Para,1506187,DESMATAMENTO_CR
29/09/2024,0.09,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
03/06/2025,0.08,0,,AM,Labrea,1302405,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
28/01/2025,0.13,0,,PA,Novo Repartimento,1505064,DESMATAMENTO_CR
03/06/2025,0.15,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
28/01/2025,0.07,0,,PA,Novo Repartimento,1505064,DESMATAMENTO_CR
03/06/2025,0.2,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
29/09/2024,0.08,0,,PA,Rondon do Para,1506187,DESMATAMENTO_CR
28/01/2025,0.07,0,,PA,Portel,1505809,DESMATAMENTO_CR
29/09/2024,0.09,0,,PA,Portel,1505809,DESMATAMENTO_CR
24/10/2024,0.12,0,,MT,Claudia,5103056,DESMATAMENTO_CR
28/01/2025,0.1,0,,PA,Portel,1505809,DESMATAMENTO_CR
28/01/2025,0.14,0,,RR,Caracarai,1400209,DESMATAMENTO_CR
03/06/2025,0.07,0,,RO,Nova Mamore,1100338,DESMATAMENTO_CR
29/09/2024,0.1,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
29/09/2024,0.06,0,,PA,Ipixuna do Para,1503457,DESMATAMENTO_CR
24/10/2024,0.11,0,,MT,Claudia,5103056,DESMATAMENTO_CR
03/06/2025,0.16,0,,RO,Porto Velho,1100205,DESMATAMENTO_CR
29/09/2024,0.12,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
28/01/2025,0.22,0,,RR,Rorainopolis,1400472,DESMATAMENTO_CR
29/09/2024,0.14,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
28/01/2025,0.18,0,,PA,Portel,1505809,DESMATAMENTO_CR
03/06/2025,0.08,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
24/10/2024,0.24,0,,MT,Claudia,5103056,DESMATAMENTO_CR
29/09/2024,0.18,0,,PA,Ipixuna do Para,1503457,DESMATAMENTO_CR
03/06/2025,0.73,0,,AM,Labrea,1302405,DESMATAMENTO_CR
24/10/2024,0.26,0,,MT,Claudia,5103056,DESMATAMENTO_CR
09/10/2024,0.17,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
28/01/2025,0.14,0,,PA,Novo Repartimento,1505064,DESMATAMENTO_CR
29/09/2024,0.23,0,,PA,Dom Eliseu,1502939,DESMATAMENTO_CR
28/01/2025,0.19,0,,RR,Canta,1400175,DESMATAMENTO_CR
28/01/2025,0.13,0,,RR,Canta,1400175,DESMATAMENTO_CR
28/01/2025,0.27,0,,RR,Caracarai,1400209,DESMATAMENTO_CR
03/06/2025,0.21,0,,AC,Porto Acre,1200807,DESMATAMENTO_CR
03/06/2025,0.2,0,,AC,Porto Acre,1200807,DESMATAMENTO_CR
29/09/2024,0.09,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
03/06/2025,0.09,0,,AM,Pauini,1303502,DESMATAMENTO_CR
03/06/2025,0.07,0,,AM,Labrea,1302405,DESMATAMENTO_CR
24/10/2024,0.23,0,,MA,Açailandia,2100055,DESMATAMENTO_CR
03/06/2025,0.15,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
03/06/2025,0.15,0,,AC,Porto Acre,1200807,DESMATAMENTO_CR
24/10/2024,0.14,0,,PA,Prainha,1506005,DESMATAMENTO_CR
28/01/2025,0.09,0,,RR,Sao Joao da Baliza,1400506,DESMATAMENTO_CR
29/09/2024,0.16,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
29/09/2024,0.11,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
24/10/2024,0.07,0,,MT,Nova Ubirata,5106240,DESMATAMENTO_CR
24/10/2024,0.11,0,,PA,Altamira,1500602,DESMATAMENTO_CR
29/09/2024,0.22,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
24/10/2024,0.18,0,,MT,Nova Ubirata,5106240,DESMATAMENTO_CR
09/10/2024,0.08,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
28/01/2025,0.07,0,,RR,Rorainopolis,1400472,DESMATAMENTO_CR
29/09/2024,0.25,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
03/06/2025,0.09,0,,AC,Porto Acre,1200807,DESMATAMENTO_CR
28/01/2025,0.18,0,,RR,Rorainopolis,1400472,DESMATAMENTO_CR
03/06/2025,0.14,0,,AC,Porto Acre,1200807,DESMATAMENTO_CR
03/06/2025,0.08,0,,AC,Bujari,1200138,DESMATAMENTO_CR
03/06/2025,0.12,0,,AC,Sena Madureira,1200500,DESMATAMENTO_CR
28/01/2025,0.59,0,,RR,Canta,1400175,DESMATAMENTO_CR
03/06/2025,0.1,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
03/06/2025,0.09,0,,AC,Bujari,1200138,DESMATAMENTO_CR
03/06/2025,0.12,0,,AC,Bujari,1200138,DESMATAMENTO_CR
03/06/2025,0.16,0,,AC,Rio Branco,1200401,DESMATAMENTO_CR
03/06/2025,0.07,0,,AC,Xapuri,1200708,DESMATAMENTO_CR
03/06/2025,0.07,0,,AC,Xapuri,1200708,DESMATAMENTO_CR
29/09/2024,0.3,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
29/09/2024,0.1,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
18/10/2024,0.08,0,,AM,Canutama,1300904,DESMATAMENTO_CR
03/06/2025,0.14,0,,AC,Rio Branco,1200401,DESMATAMENTO_CR
03/06/2025,0.45,0,,MT,Nova Maringa,5108907,DESMATAMENTO_CR
03/06/2025,0.08,0,,AC,Feijo,1200302,DESMATAMENTO_CR
03/06/2025,0.08,0,,AM,Envira,1301506,DESMATAMENTO_CR
03/06/2025,0.71,0,,MT,Nova Maringa,5108907,DESMATAMENTO_CR
29/09/2024,0.09,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
03/06/2025,2.19,0,,MT,Nova Maringa,5108907,DESMATAMENTO_CR
29/09/2024,0.25,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
03/06/2025,0.1,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
03/06/2025,0.35,0,,AM,Boca do Acre,1300706,DESMATAMENTO_CR
24/10/2024,0.07,0,,MT,Nova Mutum,5106224,DESMATAMENTO_CR
24/10/2024,0.1,0,,PA,Altamira,1500602,DESMATAMENTO_CR
03/06/2025,0.34,0,,MT,Nova Bandeirantes,5106158,DESMATAMENTO_CR
29/09/2024,0.14,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
29/09/2024,0.12,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
29/09/2024,0.08,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
29/09/2024,0.12,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
24/10/2024,0.07,0,,PA,Altamira,1500602,DESMATAMENTO_CR
29/09/2024,0.11,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
29/09/2024,0.09,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
29/09/2024,0.1,0,,PA,Rondon do Para,1506187,DESMATAMENTO_CR
24/10/2024,0.13,0,,MA,Bom Jardim,2102002,DESMATAMENTO_CR
29/09/2024,0.23,0,,PA,Rondon do Para,1506187,DESMATAMENTO_CR
24/10/2024,0.11,0,,PA,Altamira,1500602,DESMATAMENTO_CR
29/09/2024,0.2,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
20/10/2024,0.07,0,,AM,Labrea,1302405,DESMATAMENTO_CR
03/06/2025,0.12,0,,MT,Cotriguaçu,5103379,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
03/06/2025,0.16,0,,AC,Tarauaca,1200609,DESMATAMENTO_CR
29/09/2024,0.06,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
29/09/2024,0.11,0,,PA,Goianesia do Para,1503093,DESMATAMENTO_CR
03/06/2025,0.21,0,,MT,Colniza,5103254,DESMATAMENTO_CR
28/01/2025,6.61,0,,MT,Nova Maringa,5108907,DESMATAMENTO_CR
24/10/2024,0.1,0,,PA,Brasil Novo,1501725,DESMATAMENTO_CR
24/10/2024,0.23,0,,PA,Paragominas,1505502,DESMATAMENTO_CR
28/01/2025,0.96,0,,MT,Nova Maringa,5108907,DESMATAMENTO_CR
09/10/2024,0.07,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
03/06/2025,0.19,0,,MT,Colniza,5103254,DESMATAMENTO_CR
03/06/2025,0.12,0,,MT,Paranaita,5106299,DESMATAMENTO_CR
03/06/2025,0.09,0,,AC,Cruzeiro do Sul,1200203,DESMATAMENTO_CR
03/06/2025,0.1,0,,AM,Ipixuna,1301803,DESMATAMENTO_CR
03/06/2025,0.08,0,,AM,Atalaia do Norte,1300201,DESMATAMENTO_CR
03/06/2025,0.17,0,,AC,Tarauaca,1200609,DESMATAMENTO_CR
24/10/2024,0.06,0,,PA,Bom Jesus do Tocantins,1501576,DESMATAMENTO_CR
03/06/2025,0.16,0,,AC,Tarauaca,1200609,DESMATAMENTO_CR
24/10/2024,0.16,0,,PA,Bom Jesus do Tocantins,1501576,DESMATAMENTO_CR
03/06/2025,0.1,0,,MT,Aripuana,5101407,DESMATAMENTO_CR
24/10/2024,0.31,0.31,RESERVA EXTRATIVISTA ARIÓCA PRUANÃ,PA,Oeiras do Para,1505205,DESMATAMENTO_CR
24/10/2024,0.1,0,,PA,Rondon do Para,1506187,DESMATAMENTO_CR
03/06/2025,0.18,0,,MT,Aripuana,5101407,DESMATAMENTO_CR
03/06/2025,0.07,0,,AC,Cruzeiro do Sul,1200203,DESMATAMENTO_CR
24/10/2024,0.23,0,,PA,Oeiras do Para,1505205,DESMATAMENTO_CR
24/10/2024,0.66,0,,PA,Bagre,1501105,DESMATAMENTO_CR
20/10/2024,0.49,0,,AM,Labrea,1302405,DESMATAMENTO_CR
24/10/2024,0.13,0,,PA,Portel,1505809,DESMATAMENTO_CR
03/06/2025,0.21,0,,MT,Paranaita,5106299,DESMATAMENTO_CR
29/09/2024,0.07,0,,PA,Maraba,1504208,DESMATAMENTO_CR
24/10/2024,0.08,0,,PA,Portel,1505809,DESMATAMENTO_CR
09/10/2024,0.11,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
03/06/2025,0.98,0,,MT,Porto dos Gauchos,5106802,DESMATAMENTO_CR
03/06/2025,0.18,0,,MT,Nova Canaa do Norte,5106216,DESMATAMENTO_CR
03/06/2025,0.15,0,,MT,Nova Canaa do Norte,5106216,DESMATAMENTO_CR
24/10/2024,0.15,0,,PA,Altamira,1500602,DESMATAMENTO_CR
24/10/2024,0.27,0,,PA,Portel,1505809,DESMATAMENTO_CR
28/01/2025,0.58,0,,MT,Diamantino,5103502,DESMATAMENTO_CR
02/10/2024,0.07,0,,AC,Porto Walter,1200393,DESMATAMENTO_CR
03/06/2025,0.2,0,,MT,Nova Maringa,5108907,DESMATAMENTO_CR
24/10/2024,0.18,0,,PA,Anapu,1500859,DESMATAMENTO_CR
03/06/2025,1.25,0,,MT,Nova Maringa,5108907,DESMATAMENTO_CR
24/10/2024,0.16,0,,PA,Anapu,1500859,DESMATAMENTO_CR
03/06/2025,0.2,0,,MT,Paranaita,5106299,DESMATAMENTO_CR
09/10/2024,0.18,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
24/10/2024,0.24,0,,PA,Anapu,1500859,DESMATAMENTO_CR
03/06/2025,0.3,0,,MT,Colniza,5103254,DESMATAMENTO_CR
24/10/2024,0.08,0,,PA,Senador Jose Porfirio,1507805,DESMATAMENTO_CR
24/10/2024,0.14,0,,PA,Anapu,1500859,DESMATAMENTO_CR
03/06/2025,0.15,0,,MT,Aripuana,5101407,DESMATAMENTO_CR
03/06/2025,0.13,0,,AM,Apui,1300144,DESMATAMENTO_CR
28/01/2025,0.84,0,,MT,Nova Maringa,5108907,DESMATAMENTO_CR
28/01/2025,0.07,0,,MT,Juina,5105150,DESMATAMENTO_CR
28/01/2025,0.4,0,,MT,Sao Jose do Rio Claro,5107305,DESMATAMENTO_CR
28/01/2025,0.56,0,,MT,Sao Jose do Rio Claro,5107305,DESMATAMENTO_CR
28/01/2025,0.83,0,,MT,Nova Maringa,5108907,DESMATAMENTO_CR
28/01/2025,0.77,0,,MT,Brasnorte,5101902,DESMATAMENTO_CR
24/10/2024,0.07,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
28/01/2025,0.97,0,,MT,Diamantino,5103502,DESMATAMENTO_CR
24/10/2024,0.13,0,,PA,Pacaja,1505486,DESMATAMENTO_CR
24/10/2024,0.11,0,,PA,Senador Jose Porfirio,1507805,DESMATAMENTO_CR
24/10/2024,0.1,0,,PA,Senador Jose Porfirio,1507805,DESMATAMENTO_CR
